위도,경도,station_name,charger_count,match_dist_m
33.3281448,126.3795858,메밀가공시설,2,14.1
33.3371769,126.2635872,저지 다온빌라 공용주차장,2,51.0
33.3384775,126.2659442,제주현대미술관,1,29.7
33.3399517,126.2919619,한국중부발전㈜ 상명풍력발전소,2,11.8
33.3498642,126.1844735,한경면사무소,1,41.9
33.3498928,126.3045107,도로 주차장,1,60.2
33.3529026,126.1856471,건강쉼터,2,17.9
33.354232,126.814413,표선생활체육관,1,115.8
33.3564637,126.8220153,제주해안경비단,2,91.9
33.372279,126.2078406,서부하수처리장,2,38.1
33.3769028,126.2360604,제주청소년수련원,2,71.9
33.3832875,126.8415363,일출랜드,2,194.9
33.383441,126.7943,성읍119지역센터,1,0.1
33.3844608,126.8013996,성읍민속마을주차장,1,13.3
33.3845019,126.6194078,성판악,1,99.8
33.3908635,126.2375622,금능해수욕장 주차장,4,7.9
33.3918154,126.4942,어리목휴게소,1,37.2
33.4059502,126.4079691,녹고뫼안트레안내센터,1,79.3
33.4060416,126.8196657,모구리야영장,1,106.1
33.4094259,126.2685898,한림체육관,4,88.0
33.4101151,126.2681695,한림읍사무소,3,113.7
33.410523,126.2583739,한림항 주차장,1,13.9
33.4142814,126.2624944,한림파출소,1,5.2
33.41806,126.65348,성판악 공영주차장,4,0.6
33.4222298,126.550994,관음사지구안내소,1,24.2
33.4307743,126.5964033,한라생태숲,1,79.9
33.4343271,126.6377159,사려니숲길 주차장,3,18.4
33.4402439,126.6672522,교래자연휴양림,1,14.6
33.4404296,126.5703876,제주국제대학교,4,169.9
33.4404709,126.5789045,양지공원,2,70.8
33.4414221,126.4030309,유수암리사무소,2,13.1
33.4415727,126.6605408,제주시 관광시설 충전소 #1,4,601.0
33.4425279,126.2895036,소공원 주차장,2,26.9
33.4428242,126.9114876,성산읍사무소(서귀포),1,0.0
33.4445768,126.5492077,별빛누리공원 주차장_전기차량 충전소,1,2.0
33.4450253,126.6255746,제주노루생태공원,1,180.5
33.4468357,126.5602912,인재개발원,1,51.3
33.4470161,126.5616448,한국폴리텍대학 제주캠퍼스,1,66.6
33.4485529,126.9167152,제주룩스호텔,1,69.0
33.4497752,126.345658,제주시 공공시설 충전소 #1,1,339.2
33.4498256,126.6177477,제주시 관광시설 충전소 #2,4,346.3
33.45255,126.4896861,제주도립미술관,2,144.5
33.4548182,126.7116361,거문오름,1,15.9
33.4581345,126.4038749,제주농업기술센터,3,23.7
33.4589873,126.4486604,해군호텔,1,63.5
33.4602889,126.909649,동부소방서,1,44.2
33.4621468,126.3291907,애월읍사무소,3,53.0
33.4621661,126.6290217,제주환경사무소,2,28.5
33.4626034,126.9353337,성산일출봉 주차장,2,0.0
33.4633234,126.3313099,애월도서관,1,63.0
33.4667747,126.9046015,성산읍사무소 임시청사,2,142.6
33.4697409,126.4921379,한라수목원(자연생태학습관),1,103.6
33.4703446,126.5468917,아라지구 공영주차장,1,2.1
33.4714454,126.3512544,클럽다인리조트,1,33.9
33.4717769,126.5508351,아라지구2 공영주차장,1,26.2
33.4725743,126.9323704,성산항 공영주차장,6,26.6
33.474042,126.4056534,서부경찰서,2,58.2
33.4741448,126.9110172,아름다운리조트,1,158.7
33.4762656,126.5161507,한라도서관,1,131.3
33.4802174,126.5290742,제주 제스코마트 제주점,3,60.6
33.4815067,126.4755832,노형2지구 공영주차장,1,24.5
33.4824916,126.4718797,웅전공영주차장,1,25.2
33.483085,126.477175,노형주민센터,1,0.0
33.4836193,126.4742734,수덕공영주차장,1,17.4
33.4841429,126.4786352,초남 공영주차장,1,2.5
33.4844528,126.500226,설문대여성문화센터,1,64.6
33.4847428,126.4137802,애월국민체육센터,2,54.3
33.4848916,126.4328286,제주 외도2차부영,1,75.9
33.4850593,126.544143,자치경찰단,1,22.2
33.4856029,126.810257,환경성질환예방관리센터,1,120.3
33.4858471,126.4138809,하귀1리공영주차장,1,49.0
33.4866347,126.437509,외도119센터,2,33.9
33.4876817,126.5196834,한국산업인력공단 제주지사,2,29.1
33.4888623,126.5005064,제주도청2청사,1,20.3
33.4889944,126.4982701,제주도청(후문),1,47.9
33.4899163,126.4325807,외도재영샤르빌,1,38.3
33.490285,126.4989,소방안전본부,2,25.1
33.4904509,126.497882,제주도교육청,2,13.0
33.490483,126.5953381,봉개동공영주차장,1,28.5
33.4905977,126.4285471,외도구획정리지구1 공영주차장,1,26.0
33.4908651,126.5250584,정부제주지방합동청사_옥외주차장,3,0.0
33.4916249,126.5442796,탐라중학교 공영주차장,1,43.7
33.491666,126.5947311,봉개동 주민센터,1,23.3
