charger_pk,weekday,hour,사용빈도수
174,3,1,0.019230769230769232
174,3,2,0.019230769230769232
174,3,3,0.0
174,3,4,0.0
174,3,5,0.0
174,3,6,0.038461538461538464
174,3,7,0.15384615384615385
174,3,8,0.2692307692307692
174,3,9,0.28846153846153844
174,3,10,0.3269230769230769
174,3,11,0.5384615384615384
174,3,12,0.4230769230769231
174,3,13,0.34615384615384615
174,3,14,0.36538461538461536
174,3,15,0.36538461538461536
174,3,16,0.4230769230769231
174,3,17,0.4423076923076923
174,3,18,0.3269230769230769
174,3,19,0.3076923076923077
174,3,20,0.21153846153846154
174,3,21,0.21153846153846154
174,3,22,0.11538461538461539
174,3,23,0.019230769230769232
174,4,0,0.0
174,4,1,0.019230769230769232
174,4,2,0.019230769230769232
174,4,3,0.0
174,4,4,0.0
174,4,5,0.0
174,4,6,0.038461538461538464
174,4,7,0.07692307692307693
174,4,8,0.15384615384615385
174,4,9,0.28846153846153844
174,4,10,0.36538461538461536
174,4,11,0.5
174,4,12,0.5576923076923077
174,4,13,0.36538461538461536
174,4,14,0.38461538461538464
174,4,15,0.4230769230769231
174,4,16,0.4423076923076923
174,4,17,0.34615384615384615
174,4,18,0.4423076923076923
174,4,19,0.34615384615384615
174,4,20,0.25
174,4,21,0.19230769230769232
174,4,22,0.1346153846153846
174,4,23,0.09615384615384616
174,5,0,0.019230769230769232
174,5,1,0.0
174,5,2,0.0
174,5,3,0.0
174,5,4,0.0
174,5,5,0.0
174,5,6,0.038461538461538464
174,5,7,0.038461538461538464
174,5,8,0.17307692307692307
174,5,9,0.38461538461538464
174,5,10,0.34615384615384615
174,5,11,0.40384615384615385
174,5,12,0.40384615384615385
174,5,13,0.4230769230769231
174,5,14,0.3076923076923077
174,5,15,0.3076923076923077
174,5,16,0.38461538461538464
174,5,17,0.34615384615384615
174,5,18,0.3269230769230769
174,5,19,0.3076923076923077
174,5,20,0.2692307692307692
174,5,21,0.15384615384615385
174,5,22,0.11538461538461539
174,5,23,0.07692307692307693
174,6,0,0.0
174,6,1,0.038461538461538464
174,6,2,0.0
174,6,3,0.0
174,6,4,0.0
174,6,5,0.0
174,6,6,0.0
174,6,7,0.07692307692307693
174,6,8,0.11538461538461539
174,6,9,0.21153846153846154
174,6,10,0.19230769230769232
174,6,11,0.2692307692307692
174,6,12,0.2692307692307692
174,6,13,0.3076923076923077
174,6,14,0.3076923076923077
174,6,15,0.21153846153846154
174,6,16,0.21153846153846154
174,6,17,0.19230769230769232
174,6,18,0.21153846153846154
174,6,19,0.2692307692307692
174,6,20,0.23076923076923078
174,6,21,0.19230769230769232
174,6,22,0.17307692307692307
174,6,23,0.09615384615384616
175,0,0,0.25961538461538464
175,0,1,0.07692307692307693
175,0,2,0.028846153846153848
175,0,3,0.009615384615384616
175,0,4,0.009615384615384616
175,0,5,0.07692307692307693
175,0,6,0.2403846153846154
175,0,7,0.4519230769230769
175,0,8,0.4519230769230769
175,0,9,0.47115384615384615
175,0,10,0.3173076923076923
175,0,11,0.4326923076923077
175,0,12,0.5576923076923077
175,0,13,0.4326923076923077
175,0,14,0.3942307692307692
175,0,15,0.4423076923076923
175,0,16,0.5
175,0,17,0.5673076923076923
175,0,18,0.7307692307692307
175,0,19,0.7211538461538461
175,0,20,0.6153846153846154
175,0,21,0.5865384615384616
175,0,22,0.5
175,0,23,0.4326923076923077
175,1,0,0.28846153846153844
175,1,1,0.14423076923076922
175,1,2,0.028846153846153848
175,1,3,0.0
175,1,4,0.019230769230769232
175,1,5,0.10576923076923077
175,1,6,0.21153846153846154
175,1,7,0.34615384615384615
175,1,8,0.40384615384615385
175,1,9,0.47115384615384615
